日付,都道府県名,人数
2020/01/26,合計,1
2020/01/26,北海道,0
2020/01/26,青森,0
2020/01/26,岩手,0
2020/01/26,宮城,0
2020/01/26,秋田,0
2020/01/26,山形,0
2020/01/26,福島,0
2020/01/26,茨城,0
2020/01/26,栃木,0
2020/01/26,群馬,0
2020/01/26,埼玉,0
2020/01/26,千葉,0
2020/01/26,東京,0
2020/01/26,神奈川,0
2020/01/26,新潟,0
2020/01/26,富山,0
2020/01/26,石川,0
2020/01/26,福井,0
2020/01/26,山梨,0
2020/01/26,長野,0
2020/01/26,岐阜,0
2020/01/26,静岡,0
2020/01/26,愛知,1
2020/01/26,三重,0
2020/01/26,滋賀,0
2020/01/26,京都,0
2020/01/26,大阪,0
2020/01/26,兵庫,0
2020/01/26,奈良,0
2020/01/26,和歌山,0
2020/01/26,鳥取,0
2020/01/26,島根,0
2020/01/26,岡山,0
2020/01/26,広島,0
2020/01/26,山口,0
2020/01/26,徳島,0
2020/01/26,香川,0
2020/01/26,愛媛,0
2020/01/26,高知,0
2020/01/26,福岡,0
2020/01/26,佐賀,0
2020/01/26,長崎,0
2020/01/26,熊本,0
2020/01/26,大分,0
2020/01/26,宮崎,0
2020/01/26,鹿児島,0
2020/01/26,沖縄,0
2020/01/27,合計,0
2020/01/27,北海道,0
2020/01/27,青森,0
2020/01/27,岩手,0
2020/01/27,宮城,0
2020/01/27,秋田,0
2020/01/27,山形,0
2020/01/27,福島,0
2020/01/27,茨城,0
2020/01/27,栃木,0
2020/01/27,群馬,0
2020/01/27,埼玉,0
2020/01/27,千葉,0
2020/01/27,東京,0
2020/01/27,神奈川,0
2020/01/27,新潟,0
2020/01/27,富山,0
2020/01/27,石川,0
2020/01/27,福井,0
2020/01/27,山梨,0
2020/01/27,長野,0
2020/01/27,岐阜,0
2020/01/27,静岡,0
2020/01/27,愛知,0
2020/01/27,三重,0
2020/01/27,滋賀,0
2020/01/27,京都,0
2020/01/27,大阪,0
2020/01/27,兵庫,0
2020/01/27,奈良,0
2020/01/27,和歌山,0
2020/01/27,鳥取,0
2020/01/27,島根,0
