,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09
北海道,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.2,1.1,0.8,0.7,0.3,0.4,0.6,2.6,0.6,0.6,2.3,0.5
青森,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.2,0.4,0.6,0.1,0.2,1.3,0.7
岩手,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.4,0.2,0.3,0.8,0.3
宮城,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.5,0.1,1.0,0.9,0.3,0.1,0.3,2.1,0.5
秋田,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.1,0.1,0.6,0.2
山形,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.4,0.5,0.4,0.1,0.1,0.9,0.2
福島,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.1,0.3,0.5,0.6,0.2,0.5,1.5,0.3
茨城,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.3,0.8,0.3,0.3,0.5,0.5,0.3,0.7,2.8,0.9
栃木,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.4,1.2,0.2,0.3,0.4,0.5,0.3,0.7,2.5,0.7
群馬,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.6,0.8,0.3,0.3,0.5,0.9,0.1,0.4,3.1,0.6
埼玉,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.1,0.2,0.4,0.8,1.5,0.6,0.5,0.7,0.8,0.4,1.4,6.1,1.4
千葉,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.3,0.7,1.8,0.7,0.5,0.6,0.6,0.5,1.4,6.1,1.6
東京,0.0,0.0,0.0,0.3,0.1,0.1,0.5,0.6,0.4,0.4,0.7,1.4,3.0,0.8,0.7,1.3,1.6,1.0,3.3,9.3,1.8
神奈川,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.2,0.2,0.4,1.0,2.1,0.5,0.3,0.6,0.9,0.6,1.7,7.1,1.7
新潟,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.4,0.4,0.1,0.3,1.2,0.3
富山,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.4,0.5,0.2,0.2,2.0,0.3
石川,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.2,0.3,0.3,0.1,0.5,1.1,0.2,1.0,1.9,0.3
福井,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.1,0.4,0.2,0.3,0.4,1.2,0.4
山梨,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.4,0.0,0.0,0.3,0.4,0.7,0.4,2.5,0.5
長野,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.5,0.0,0.2,0.5,0.4,0.1,0.1,1.2,0.3
岐阜,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.6,0.9,0.2,0.1,0.4,1.4,0.3,0.2,2.9,1.1
静岡,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.3,0.5,0.1,0.2,0.2,0.5,0.2,0.4,3.1,0.9
愛知,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.1,0.1,0.5,0.9,1.0,0.2,0.2,0.8,1.9,0.5,0.4,4.0,2.3
三重,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.2,0.5,0.2,0.1,0.6,0.6,0.2,0.3,3.6,1.0
滋賀,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.3,0.7,0.2,0.2,0.7,1.0,0.3,0.3,3.2,0.9
京都,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.1,0.1,0.2,0.8,1.4,0.2,0.2,1.1,1.3,0.3,0.7,4.6,1.6
大阪,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.5,0.2,0.2,0.9,1.1,1.6,0.4,0.6,3.3,2.1,0.4,1.2,6.2,2.6
兵庫,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.4,0.8,1.2,0.3,0.4,2.1,1.5,0.2,0.6,3.9,1.6
奈良,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.1,0.4,0.6,0.7,0.2,0.3,1.7,1.2,0.3,0.5,3.1,1.2
和歌山,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.5,0.1,0.1,0.9,0.5,0.1,0.3,1.7,0.5
鳥取,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.0,0.5,1.2,0.3
島根,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.0,0.3,0.9,0.3
岡山,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.5,0.1,0.1,0.7,1.8,0.1,0.3,2.7,0.7
広島,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.9,0.5,0.1,0.1,0.3,1.6,0.3,0.2,2.3,0.8
山口,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.5,0.1,0.0,0.3,0.8,0.2,0.1,1.2,0.3
徳島,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.1,1.0,0.4,0.0,0.2,1.2,0.6
香川,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.1,0.4,0.8,0.1,0.2,2.0,0.4
愛媛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.2,0.7,0.3,0.0,0.1,1.2,0.2
高知,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.3,0.1,0.0,0.2,0.6,0.5,0.4,1.9,0.7
福岡,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.5,0.1,0.0,0.1,0.6,1.4,0.4,0.2,0.9,2.1,0.3,0.8,5.0,1.4
佐賀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.6,0.1,0.2,0.5,1.1,0.1,0.2,2.9,0.6
長崎,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.6,0.1,0.0,0.3,0.6,0.2,0.2,1.3,0.4
熊本,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.1,0.5,0.8,0.1,0.0,0.4,1.2,0.1,0.3,3.1,0.7
大分,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,0.4,0.1,0.0,0.5,1.3,0.1,0.1,2.9,0.7
宮崎,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.2,1.0,0.1,0.0,0.2,0.7,0.1,0.1,2.0,0.5
鹿児島,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.4,0.1,0.0,0.2,0.7,0.2,0.2,2.5,0.5
沖縄,0.0,0.0,0.0,0.1,0.0,0.0,0.2,1.2,0.2,0.6,0.7,0.7,1.5,0.5,0.9,2.1,3.2,2.6,2.8,12.5,3.6
